tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes
covtype,fedavg_svm,full,iid,10,100,1,0.01,42,3,4000,0.5537,1.092493002343451,nan,6.216170494827925,21600
covtype,fedavg_svm,full,iid,10,100,1,0.01,42,4,4000,0.6165,1.442514921009183,nan,6.216170494827925,21600
covtype,fedavg_svm,full,iid,10,100,1,0.01,42,5,4000,0.4914,2.1039409480905706,nan,6.216170494827925,21600
covtype,fedavg_svm,full,iid,10,100,1,0.01,42,6,4000,0.5338,1.3037234518690817,nan,6.216170494827925,21600
covtype,fedavg_svm,full,iid,10,100,1,0.01,42,7,4000,0.5218,1.224842774476533,nan,6.216170494827925,21600
covtype,fedavg_svm,full,iid,10,100,1,0.01,42,8,4000,0.559,1.837039271250029,nan,6.216170494827925,21600
covtype,fedavg_svm,full,iid,10,100,1,0.01,42,9,4000,0.5559,1.384188346537209,nan,6.216170494827925,21600
covtype,fedavg_svm,full,dirichlet_1.0,10,100,1,0.01,42,0,4326,0.5492,0.8346174792441201,nan,5.068377755828292,21600
covtype,fedavg_svm,full,dirichlet_1.0,10,100,1,0.01,42,1,2902,0.5159,0.5300503705199723,nan,5.068377755828292,21600
covtype,fedavg_svm,full,dirichlet_1.0,10,100,1,0.01,42,2,4488,0.6469,0.6980723607861479,nan,5.068377755828292,21600
covtype,fedavg_svm,full,dirichlet_1.0,10,100,1,0.01,42,3,793,0.4878,0.6975914129248407,nan,5.068377755828292,21600
covtype,fedavg_svm,full,dirichlet_1.0,10,100,1,0.01,42,4,1582,0.5833,1.1383530323931912,nan,5.068377755828292,21600
covtype,fedavg_svm,full,dirichlet_1.0,10,100,1,0.01,42,5,3208,0.4854,0.8666069038310545,nan,5.068377755828292,21600
covtype,fedavg_svm,full,dirichlet_1.0,10,100,1,0.01,42,6,6003,0.5065,1.2880431081997739,nan,5.068377755828292,21600
covtype,fedavg_svm,full,dirichlet_1.0,10,100,1,0.01,42,7,6151,0.5159,0.6696574630120093,nan,5.068377755828292,21600
covtype,fedavg_svm,full,dirichlet_1.0,10,100,1,0.01,42,8,3352,0.5159,0.3682847012420969,nan,5.068377755828292,21600
covtype,fedavg_svm,full,dirichlet_1.0,10,100,1,0.01,42,9,7195,0.5565,1.0397416317182535,nan,5.068377755828292,21600
covtype,fedavg_svm,full,dirichlet_0.3,10,100,1,0.01,42,0,746,0.5159,0.0,nan,4.853616638606701,21600
covtype,fedavg_svm,full,dirichlet_0.3,10,100,1,0.01,42,1,3023,0.5502,0.4242842373510478,nan,4.853616638606701,21600
covtype,fedavg_svm,full,dirichlet_0.3,10,100,1,0.01,42,2,6249,0.4841,0.0031602669148241883,nan,4.853616638606701,21600
covtype,fedavg_svm,full,dirichlet_0.3,10,100,1,0.01,42,3,1084,0.5818,1.1491594982345792,nan,4.853616638606701,21600
covtype,fedavg_svm,full,dirichlet_0.3,10,100,1,0.01,42,4,4177,0.506,0.9288422250875807,nan,4.853616638606701,21600
covtype,fedavg_svm,full,dirichlet_0.3,10,100,1,0.01,42,5,301,0.577,1.4278525219364107,nan,4.853616638606701,21600
covtype,fedavg_svm,full,dirichlet_0.3,10,100,1,0.01,42,6,10200,0.5159,0.005933154805638519,nan,4.853616638606701,21600
covtype,fedavg_svm,full,dirichlet_0.3,10,100,1,0.01,42,7,4364,0.5164,0.1571098325529918,nan,4.853616638606701,21600
covtype,fedavg_svm,full,dirichlet_0.3,10,100,1,0.01,42,8,3745,0.4984,1.5147879527939618,nan,4.853616638606701,21600
covtype,fedavg_svm,full,dirichlet_0.3,10,100,1,0.01,42,9,6111,0.5721,1.2146236933316152,nan,4.853616638606701,21600
covtype,fedavg_svm,full,dirichlet_0.1,10,100,1,0.01,42,0,111,0.5159,0.0,nan,3.488838674175485,21600
covtype,fedavg_svm,full,dirichlet_0.1,10,100,1,0.01,42,1,2160,0.4841,0.03288551868229636,nan,3.488838674175485,21600
covtype,fedavg_svm,full,dirichlet_0.1,10,100,1,0.01,42,2,11171,0.4841,0.0,nan,3.488838674175485,21600
covtype,fedavg_svm,full,dirichlet_0.1,10,100,1,0.01,42,3,110,0.5159,0.22078130044169958,nan,3.488838674175485,21600
covtype,fedavg_svm,full,dirichlet_0.1,10,100,1,0.01,42,4,4214,0.4841,0.08783256929144742,nan,3.488838674175485,21600
covtype,fedavg_svm,full,dirichlet_0.1,10,100,1,0.01,42,5,1,0.5159,0.0,nan,3.488838674175485,21600
covtype,fedavg_svm,full,dirichlet_0.1,10,100,1,0.01,42,6,302,0.5159,0.0,nan,3.488838674175485,21600
covtype,fedavg_svm,full,dirichlet_0.1,10,100,1,0.01,42,7,16592,0.5159,0.00018388948359015884,nan,3.488838674175485,21600
covtype,fedavg_svm,full,dirichlet_0.1,10,100,1,0.01,42,8,1060,0.5337,1.2476171674322285,nan,3.488838674175485,21600
covtype,fedavg_svm,full,dirichlet_0.1,10,100,1,0.01,42,9,4279,0.5159,1.9958194842384065,nan,3.488838674175485,21600
covtype,fedavg_svm,full,label_skew,10,100,1,0.01,42,0,4109,0.5159,0.0,nan,2.2033945778117676,21600
covtype,fedavg_svm,full,label_skew,10,100,1,0.01,42,1,3892,0.4841,0.0,nan,2.2033945778117676,21600
covtype,fedavg_svm,full,label_skew,10,100,1,0.01,42,2,4109,0.5159,0.0,nan,2.2033945778117676,21600
covtype,fedavg_svm,full,label_skew,10,100,1,0.01,42,3,3892,0.4841,0.0,nan,2.2033945778117676,21600
covtype,fedavg_svm,full,label_skew,10,100,1,0.01,42,4,4108,0.5159,0.0,nan,2.2033945778117676,21600
