tag,method,topology,scheme,nodes,cycles,gossip_k,lambda_reg,seed,node,n_local,test_acc,hinge_loss,duality_gap,consensus_err,comm_bytes,components
covtype,bdsvm,ring,dirichlet_0.3,10,100,1,0.01,42,6,10200,0.7402,0.5599305923151353,nan,45.283009577293285,16153536,1
covtype,bdsvm,ring,dirichlet_0.3,10,100,1,0.01,42,7,4364,0.7416,0.5947756643785775,nan,45.283009577293285,16400784,1
covtype,bdsvm,ring,dirichlet_0.3,10,100,1,0.01,42,8,3745,0.7437,0.6255725311063942,nan,45.283009577293285,16483200,1
covtype,bdsvm,ring,dirichlet_0.3,10,100,1,0.01,42,9,6111,0.7403,0.6371868092634753,nan,45.283009577293285,16400784,1
covtype,bdsvm,ring,dirichlet_1.0,10,100,1,0.01,42,0,4326,0.6979,0.5808496041363403,nan,20.851648063612632,16483200,1
covtype,bdsvm,ring,dirichlet_1.0,10,100,1,0.01,42,1,2902,0.6964,0.7017842154555631,nan,20.851648063612632,16483200,1
covtype,bdsvm,ring,dirichlet_1.0,10,100,1,0.01,42,2,4488,0.7031,0.6528868120361903,nan,20.851648063612632,16483200,1
covtype,bdsvm,ring,dirichlet_1.0,10,100,1,0.01,42,3,793,0.7044,0.6170033642607428,nan,20.851648063612632,16400784,1
covtype,bdsvm,ring,dirichlet_1.0,10,100,1,0.01,42,4,1582,0.7089,0.5716069214840808,nan,20.851648063612632,16483200,1
covtype,bdsvm,ring,dirichlet_1.0,10,100,1,0.01,42,5,3208,0.7025,0.5582613847579286,nan,20.851648063612632,16400784,1
covtype,bdsvm,ring,dirichlet_1.0,10,100,1,0.01,42,6,6003,0.7016,0.598173653607107,nan,20.851648063612632,16153536,1
covtype,bdsvm,ring,dirichlet_1.0,10,100,1,0.01,42,7,6151,0.7014,0.7133773936638247,nan,20.851648063612632,16400784,1
covtype,bdsvm,ring,dirichlet_1.0,10,100,1,0.01,42,8,3352,0.7025,0.7025021039769248,nan,20.851648063612632,16483200,1
covtype,bdsvm,ring,dirichlet_1.0,10,100,1,0.01,42,9,7195,0.7031,0.594038142091346,nan,20.851648063612632,16400784,1
covtype,bdsvm,ring,iid,10,100,1,0.01,42,0,4000,0.7166,0.6343509124009956,nan,9.655474346612248,16483200,1
covtype,bdsvm,ring,iid,10,100,1,0.01,42,1,4000,0.7112,0.6695714033293143,nan,9.655474346612248,16483200,1
covtype,bdsvm,ring,iid,10,100,1,0.01,42,2,4000,0.7165,0.6266649543481138,nan,9.655474346612248,16483200,1
covtype,bdsvm,ring,iid,10,100,1,0.01,42,3,4000,0.7173,0.6562774363265567,nan,9.655474346612248,16400784,1
covtype,bdsvm,ring,iid,10,100,1,0.01,42,4,4000,0.7221,0.6202864656098087,nan,9.655474346612248,16483200,1
covtype,bdsvm,ring,iid,10,100,1,0.01,42,5,4000,0.7182,0.6170653114720984,nan,9.655474346612248,16400784,1
covtype,bdsvm,ring,iid,10,100,1,0.01,42,6,4000,0.7179,0.62892856025298,nan,9.655474346612248,16153536,1
covtype,bdsvm,ring,iid,10,100,1,0.01,42,7,4000,0.7187,0.6276665209267719,nan,9.655474346612248,16400784,1
covtype,bdsvm,ring,iid,10,100,1,0.01,42,8,4000,0.7209,0.6294898166730423,nan,9.655474346612248,16483200,1
covtype,bdsvm,ring,iid,10,100,1,0.01,42,9,4000,0.7202,0.6098292713910689,nan,9.655474346612248,16400784,1
covtype,bdsvm,ring,label_skew,10,100,1,0.01,42,0,4109,0.7349,0.6591301982335683,nan,9.506793610726312,16483200,1
covtype,bdsvm,ring,label_skew,10,100,1,0.01,42,1,3892,0.7367,0.6072936417556022,nan,9.506793610726312,16483200,1
covtype,bdsvm,ring,label_skew,10,100,1,0.01,42,2,4109,0.738,0.6466307003416873,nan,9.506793610726312,16483200,1
covtype,bdsvm,ring,label_skew,10,100,1,0.01,42,3,3892,0.7399,0.6012447533999258,nan,9.506793610726312,16400784,1
covtype,bdsvm,ring,label_skew,10,100,1,0.01,42,4,4108,0.7358,0.662564899577943,nan,9.506793610726312,16483200,1
covtype,bdsvm,ring,label_skew,10,100,1,0.01,42,5,3892,0.7316,0.5932866333480492,nan,9.506793610726312,16400784,1
covtype,bdsvm,ring,label_skew,10,100,1,0.01,42,6,4108,0.7311,0.685020580609144,nan,9.506793610726312,16153536,1
covtype,bdsvm,ring,label_skew,10,100,1,0.01,42,7,3891,0.7296,0.5819612137063738,nan,9.506793610726312,16400784,1
covtype,bdsvm,ring,label_skew,10,100,1,0.01,42,8,4108,0.7315,0.6612718513183842,nan,9.506793610726312,16483200,1
covtype,bdsvm,ring,label_skew,10,100,1,0.01,42,9,3891,0.7335,0.5640220652508265,nan,9.506793610726312,16400784,1
covtype,cocoa,full,dirichlet_0.1,10,100,1,0.01,42,0,111,0.5159,0.1849099383497704,-0.8006756063730793,0.4920284922942927,21600,1
covtype,cocoa,full,dirichlet_0.1,10,100,1,0.01,42,1,2160,0.4841,0.019988632861196388,-0.06494197461683199,0.4920284922942927,21600,1
covtype,cocoa,full,dirichlet_0.1,10,100,1,0.01,42,2,11171,0.4841,0.002082034468706079,-0.00918199387928382,0.4920284922942927,21600,1
